run_index,class,filepath
0,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_10.jpg
1,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_100.jpg
2,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1000.jpg
3,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1002.jpg
4,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1004.jpg
5,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1006.jpg
6,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1007.jpg
7,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1008.jpg
8,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_101.jpg
9,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1011.jpg
10,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1012.jpg
11,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1016.jpg
12,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1019.jpg
13,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_102.jpg
14,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1020.jpg
15,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1022.jpg
16,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1025.jpg
17,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1027.jpg
18,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_103.jpg
19,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1031.jpg
20,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1032.jpg
21,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1033.jpg
22,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1037.jpg
23,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1038.jpg
24,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1039.jpg
25,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_104.jpg
26,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1040.jpg
27,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1041.jpg
28,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1044.jpg
29,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1049.jpg
30,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_105.jpg
31,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1050.jpg
32,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1052.jpg
33,Cataract,/content/drive/MyDrive/Cataract/Data/Test/Cataract/cat_0_1054.jpg
34,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_0.jpg
35,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1.jpg
36,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_10.jpg
37,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1001.jpg
38,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1002.jpg
39,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1003.jpg
40,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1005.jpg
41,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1007.jpg
42,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1008.jpg
43,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1009.jpg
44,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_101.jpg
45,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1010.jpg
46,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1011.jpg
47,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1012.jpg
48,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1013.jpg
49,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1014.jpg
50,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1015.jpg
51,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1017.jpg
52,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_102.jpg
53,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1020.jpg
54,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1021.jpg
55,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1022.jpg
56,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1023.jpg
