path_a,split_a,class_a,path_b,split_b,class_b,phash_distance
Train/Cataract/cat_0_6632.jpg,Train,Cataract,Validation/Cataract/cat_0_1702.jpg,Validation,Cataract,12
Train/Cataract/cat_0_6957.jpg,Train,Cataract,Validation/Cataract/cat_0_6021.jpg,Validation,Cataract,10
Train/Cataract/cat_0_7314.jpg,Train,Cataract,Validation/Not Eye/27e01a9780.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_7404.jpg,Train,Cataract,Validation/Cataract/cat_0_5715.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7321.jpg,Train,Cataract,Validation/Cataract/cat_0_535.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7337.jpg,Train,Cataract,Validation/Cataract/cat_0_2330.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7486.jpg,Train,Cataract,Validation/Cataract/cat_0_7146.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7500.jpg,Train,Cataract,Validation/Normal/cat_0_7045.jpg,Validation,Normal,12
Train/Cataract/cat_0_7679.jpg,Train,Cataract,Validation/Cataract/cat_0_4062.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7679.jpg,Train,Cataract,Validation/Normal/cat_0_2295.jpg,Validation,Normal,12
Train/Cataract/cat_0_7905.jpg,Train,Cataract,Validation/Cataract/cat_0_6809.jpg,Validation,Cataract,12
Train/Cataract/cat_0_7894.jpg,Train,Cataract,Validation/Cataract/cat_0_2086.jpg,Validation,Cataract,10
Train/Cataract/cat_0_8178.jpg,Train,Cataract,Validation/Cataract/cat_0_2380.jpg,Validation,Cataract,12
Train/Cataract/cat_0_8178.jpg,Train,Cataract,Validation/Cataract/cat_0_4574.jpg,Validation,Cataract,12
Train/Cataract/cat_0_8239.jpg,Train,Cataract,Validation/Not Eye/6dce9407dc.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_8273.jpg,Train,Cataract,Validation/Cataract/cat_0_4998.jpg,Validation,Cataract,12
Train/Cataract/cat_0_8452.jpg,Train,Cataract,Validation/Cataract/cat_0_5520.jpg,Validation,Cataract,12
Train/Cataract/cat_0_8538.jpg,Train,Cataract,Validation/Not Eye/6cac88ac19.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_8697.jpg,Train,Cataract,Validation/Cataract/cat_0_3513.jpg,Validation,Cataract,10
Train/Cataract/cat_0_8780.jpg,Train,Cataract,Validation/Normal/cat_0_8870.jpg,Validation,Normal,12
Train/Cataract/cat_0_8775.jpg,Train,Cataract,Validation/Cataract/cat_0_6206.jpg,Validation,Cataract,12
Train/Cataract/cat_0_8832.jpg,Train,Cataract,Validation/Normal/cat_0_8118.jpg,Validation,Normal,10
Train/Cataract/cat_0_8779.jpg,Train,Cataract,Validation/Cataract/cat_0_6624.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9180.jpg,Train,Cataract,Validation/Cataract/cat_0_1175.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9245.jpg,Train,Cataract,Validation/Not Eye/8b28b8aff6.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_9318.jpg,Train,Cataract,Validation/Cataract/cat_0_3396.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9525.jpg,Train,Cataract,Validation/Cataract/cat_0_4072.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9478.jpg,Train,Cataract,Validation/Cataract/cat_0_8972.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9795.jpg,Train,Cataract,Validation/Cataract/cat_0_6019.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9642.jpg,Train,Cataract,Validation/Cataract/cat_0_6687.jpg,Validation,Cataract,12
Train/Cataract/cat_0_9689.jpg,Train,Cataract,Validation/Not Eye/9e2c93a77c.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_9788.jpg,Train,Cataract,Validation/Not Eye/3a49809912.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_9867.jpg,Train,Cataract,Validation/Cataract/cat_0_7433.jpg,Validation,Cataract,12
Train/Cataract/cat_0_3533.jpg,Train,Cataract,Validation/Normal/cat_0_3200.jpg,Validation,Normal,12
Train/Cataract/cat_0_3365.jpg,Train,Cataract,Validation/Normal/cat_0_2892.jpg,Validation,Normal,12
Train/Cataract/cat_0_3453.jpg,Train,Cataract,Validation/Cataract/cat_0_5209.jpg,Validation,Cataract,12
Train/Cataract/cat_0_3708.jpg,Train,Cataract,Validation/Normal/cat_0_5640.jpg,Validation,Normal,10
Train/Cataract/cat_0_3664.jpg,Train,Cataract,Validation/Normal/cat_0_112.jpg,Validation,Normal,12
Train/Cataract/cat_0_3718.jpg,Train,Cataract,Validation/Normal/cat_0_7306.jpg,Validation,Normal,12
Train/Cataract/cat_0_3661.jpg,Train,Cataract,Validation/Cataract/cat_0_2830.jpg,Validation,Cataract,12
Train/Cataract/cat_0_3622.jpg,Train,Cataract,Validation/Not Eye/7e21288f88.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_3635.jpg,Train,Cataract,Validation/Normal/cat_0_7374.jpg,Validation,Normal,10
Train/Cataract/cat_0_3907.jpg,Train,Cataract,Validation/Normal/cat_0_209.jpg,Validation,Normal,12
Train/Cataract/cat_0_3782.jpg,Train,Cataract,Validation/Cataract/cat_0_6884.jpg,Validation,Cataract,12
Train/Cataract/cat_0_3899.jpg,Train,Cataract,Validation/Cataract/cat_0_477.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4163.jpg,Train,Cataract,Validation/Cataract/cat_0_1837.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4046.jpg,Train,Cataract,Validation/Normal/cat_0_8636.jpg,Validation,Normal,12
Train/Cataract/cat_0_4126.jpg,Train,Cataract,Validation/Normal/cat_0_8176.jpg,Validation,Normal,12
Train/Cataract/cat_0_4248.jpg,Train,Cataract,Validation/Not Eye/05d97dc66c.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_4317.jpg,Train,Cataract,Validation/Cataract/cat_0_477.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4369.jpg,Train,Cataract,Validation/Normal/cat_0_174.jpg,Validation,Normal,12
Train/Cataract/cat_0_4369.jpg,Train,Cataract,Validation/Not Eye/3cd6c002ea.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_4442.jpg,Train,Cataract,Validation/Normal/cat_0_4847.jpg,Validation,Normal,12
Train/Cataract/cat_0_4393.jpg,Train,Cataract,Validation/Cataract/cat_0_5206.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4393.jpg,Train,Cataract,Validation/Normal/cat_0_9523.jpg,Validation,Normal,12
Train/Cataract/cat_0_4428.jpg,Train,Cataract,Validation/Cataract/cat_0_7135.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4691.jpg,Train,Cataract,Validation/Cataract/cat_0_9563.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4589.jpg,Train,Cataract,Validation/Cataract/cat_0_4739.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4583.jpg,Train,Cataract,Validation/Cataract/cat_0_6424.jpg,Validation,Cataract,12
Train/Cataract/cat_0_4596.jpg,Train,Cataract,Validation/Normal/cat_0_4931.jpg,Validation,Normal,12
Train/Cataract/cat_0_4939.jpg,Train,Cataract,Validation/Normal/cat_0_664.jpg,Validation,Normal,12
Train/Cataract/cat_0_4779.jpg,Train,Cataract,Validation/Cataract/cat_0_634.jpg,Validation,Cataract,12
Train/Cataract/cat_0_5010.jpg,Train,Cataract,Validation/Normal/cat_0_6508.jpg,Validation,Normal,12
Train/Cataract/cat_0_5031.jpg,Train,Cataract,Validation/Normal/cat_0_6483.jpg,Validation,Normal,10
Train/Cataract/cat_0_5298.jpg,Train,Cataract,Validation/Cataract/cat_0_9843.jpg,Validation,Cataract,12
Train/Cataract/cat_0_5303.jpg,Train,Cataract,Validation/Cataract/cat_0_8763.jpg,Validation,Cataract,12
Train/Cataract/cat_0_5352.jpg,Train,Cataract,Validation/Cataract/cat_0_6899.jpg,Validation,Cataract,10
Train/Cataract/cat_0_5458.jpg,Train,Cataract,Validation/Not Eye/087ee9b72f.jpg,Validation,Not Eye,12
Train/Cataract/cat_0_5636.jpg,Train,Cataract,Validation/Cataract/cat_0_3821.jpg,Validation,Cataract,12
